"BsmtFin SF 1","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Gr Liv Area","SalePrice"
639,441,1080,1656,0,1656,215000
468,270,882,896,0,896,105000
923,406,1329,1329,0,1329,172000
1065,1045,2110,2110,0,2110,244000
791,137,928,928,701,1629,189900
602,324,926,926,678,1604,195500
616,722,1338,1338,0,1338,213500
263,1017,1280,1280,0,1280,191500
1180,415,1595,1616,0,1616,236500
0,994,994,1028,776,1804,189000
0,763,763,763,892,1655,175900
935,233,1168,1187,0,1187,185000
0,789,789,789,676,1465,180400
637,663,1300,1341,0,1341,171500
368,0,1488,1502,0,1502,212000
1416,234,1650,1690,1589,3279,538000
427,132,559,1080,672,1752,164000
1445,411,1856,1856,0,1856,394432
120,744,864,864,0,864,141000
790,589,1542,2073,0,2073,210000
705,1139,1844,1844,0,1844,190000
885,0,1053,1173,0,1173,170000
533,281,814,814,860,1674,216000
578,426,1004,1004,0,1004,149000
734,344,1078,1078,0,1078,149900
775,281,1056,1056,0,1056,142000
804,0,882,882,0,882,126000
432,432,864,864,0,864,115000
1051,354,1405,1337,0,1337,184000
156,327,483,483,504,987,96000
300,225,525,525,567,1092,105500
0,525,525,525,567,1092,88000
360,709,1069,1069,0,1069,127500
514,341,855,855,601,1456,149900
0,836,836,836,0,836,120000
311,544,855,855,601,1456,146000
0,1590,1590,1627,707,2334,376162
1218,486,1704,1704,0,1704,306000
1646,284,1930,1940,0,1940,395192
0,1544,1544,1544,0,1544,290941
1201,340,1541,1541,0,1541,220000
110,1588,1698,1698,0,1698,275000
28,1794,1822,1822,0,1822,259000
2,1515,1517,1535,0,1535,214000
2188,142,2330,2364,0,2364,611657
733,625,1358,1358,0,1358,224000
1373,1473,2846,2696,0,2696,500000
578,1093,1671,1687,563,2250,320000
456,1296,1752,1752,0,1752,319900
24,1346,1370,1370,0,1370,205000
0,764,764,764,862,1626,175500
0,1324,1324,1324,0,1324,199500
16,1129,1145,1145,0,1145,160000
24,1232,1256,1269,0,1269,192000
326,58,384,744,630,1374,184500
625,235,860,860,1100,1960,216500
0,847,847,847,886,1733,185088
250,134,384,774,656,1430,180000
0,884,884,884,1151,2035,222500
0,1393,1393,1422,1177,2599,333168
0,1629,1629,1645,830,2475,355000
919,801,1720,1720,0,1720,260400
1032,431,1463,1500,1122,2622,325000
524,628,1152,1164,1106,2270,290000
0,1195,1195,1195,644,1839,221000
816,1217,2033,2053,1185,3238,410000
0,1595,1595,1595,0,1595,221500
0,1218,1218,1218,0,1218,204500
24,732,756,764,783,1547,215200
1078,488,1566,1566,0,1566,262500
222,769,991,991,956,1947,254900
1414,54,1468,1468,0,1468,271500
656,300,956,956,1128,2084,233000
0,831,831,831,828,1659,181000
695,253,948,1222,888,2110,205000
543,261,923,923,0,923,143000
0,1055,1055,1055,790,1845,189000
0,918,918,918,0,918,99500
623,0,744,752,0,752,125000
402,594,996,1014,730,1744,194500
338,702,1040,1097,0,1097,152000
0,650,650,888,676,1564,171000
0,816,816,1012,0,1012,67500
0,0,0,1318,584,1902,112000
899,210,1109,1155,0,1155,148000
553,224,894,894,0,894,138500
450,432,882,900,0,900,122000
824,216,1040,1040,0,1040,133000
659,381,1040,1040,0,1040,127000
126,223,1208,1494,0,1494,169000
674,76,750,1061,862,1923,190000
250,0,1231,1251,1098,2349,362500
1129,261,1390,1402,823,2225,285000
1298,190,1488,1488,0,1488,260000
0,840,840,840,840,1680,190000
280,320,600,600,600,1200,155000
0,600,600,600,600,1200,151000
368,190,600,600,600,1200,149500
376,224,600,600,636,1236,152000
578,892,1470,1478,0,1478,222000
378,378,756,769,804,1573,177500
466,290,756,756,756,1512,177000
604,92,696,696,720,1416,155000
244,286,530,530,550,1080,147110
1032,610,1642,1418,0,1418,267916
484,491,975,975,873,1848,254000
728,0,728,788,0,788,155000
1052,174,1226,1226,0,1226,206000
533,192,725,725,754,1479,130500
833,659,1492,1492,0,1492,230000
506,1323,1829,1829,0,1829,218500
1137,143,1280,1280,1215,2495,243500
1200,410,1610,1610,0,1610,205000
687,491,1224,1287,604,1891,212500
394,586,980,980,734,1714,196500
982,179,1161,1381,0,1381,197500
329,386,715,930,715,1645,171000
698,534,1232,1232,0,1232,142250
569,678,1328,1328,0,1328,143000
569,381,950,1225,0,1225,128950
1059,150,1209,1209,0,1209,159000
1010,500,1510,1510,0,1510,178900
0,533,533,1131,644,1775,136300
1014,138,1152,1152,0,1152,180500
763,173,936,1054,0,1054,137500
1500,228,1728,1728,0,1728,84900
49,0,1078,1078,0,1078,142125
670,470,1140,1929,532,2461,197600
300,482,782,1019,537,1556,172500
696,162,858,858,0,858,116500
0,728,728,1306,0,1306,76500
354,412,1056,1063,0,1063,128000
674,350,1156,1520,0,1520,153000
540,728,1268,1268,0,1268,132000
944,136,1080,1128,0,1128,178000
443,662,1105,1105,1169,2274,154300
912,1035,1947,2207,0,2207,180000
247,557,1517,1888,0,1888,190000
0,1604,1604,1604,0,1604,135000
1188,292,1480,1480,0,1480,214000
856,125,1143,1143,0,1143,136000
1018,380,1398,1700,0,1700,165500
922,392,1314,1314,0,1314,145000
0,1194,1194,1194,0,1194,148000
1000,188,1188,1188,0,1188,142000
697,571,1268,1264,0,1264,167500
936,270,1206,1206,0,1206,108538
734,510,1244,1580,0,1580,159500
0,832,832,832,505,1337,108000
339,525,864,1064,0,1064,135000
648,324,972,972,0,972,122500
532,456,988,988,0,988,119000
731,326,1057,1057,0,1057,109000
0,576,576,985,0,985,105000
0,0,0,827,0,827,107500
320,404,1086,1086,0,1086,144900
248,448,936,936,0,936,129000
0,912,912,912,546,1458,97500
1056,0,1056,1056,0,1056,144000
72,733,1063,1287,0,1287,162000
0,710,710,1898,1080,2978,242000
481,161,816,816,408,1224,132000
340,0,1246,1246,0,1246,154000
507,403,910,910,475,1385,166000
234,180,900,900,0,900,134800
0,1116,1116,1116,0,1116,160000
588,237,1175,1175,0,1175,148000
717,415,1395,1395,0,1395,192000
0,756,756,1051,788,1839,155000
48,661,709,1157,687,1844,80400
0,576,576,792,348,1140,96500
579,357,936,936,0,936,109500
0,1008,1008,1028,0,1028,115000
274,0,1347,1347,0,1347,143000
0,840,840,840,765,1605,107400
0,747,747,747,0,747,80000
510,278,788,804,0,804,119000
234,0,926,926,0,1316,130000
0,827,827,827,424,1251,119000
780,247,1027,1027,606,1633,129000
176,832,1008,1060,185,1245,100000
0,678,678,832,0,832,12789
0,624,624,720,0,720,105900
0,930,930,930,636,1566,150000
686,0,686,966,686,1652,139000
0,346,346,1157,1111,2268,240000
0,840,840,1128,1128,2256,76500
600,312,912,1236,0,1236,149700
0,622,622,741,622,1363,125500
