Type,Block,Street Name,Postal,Latitude,Longitude
HDB,1,BEACH RD,190001,1.303671351,103.8644787
HDB,1,BEDOK STH AVE 1,460001,1.320852087,103.9337211
HDB,1,CHAI CHEE RD,461001,1.327968792,103.922716
HDB,1,CHANGI VILLAGE RD,500001,1.388546562,103.9878045
HDB,1,DELTA AVE,160001,1.292075251,103.8285841
HDB,1,DOVER RD,130001,1.302525747,103.7832732
HDB,1,EVERTON PK,81001,1.277426543,103.8400012
HDB,1,GHIM MOH RD,270001,1.312879757,103.786855
HDB,1,HAIG RD,430001,1.311290912,103.8977034
HDB,1,HOUGANG AVE 3,530001,1.364130973,103.8930013
HDB,1,JLN BT MERAH,150001,1.28645354,103.8082424
HDB,1,KG KAYU RD,431001,1.303557697,103.8837964
HDB,1,LOR 7 TOA PAYOH,310001,1.339430335,103.8534428
HDB,1,LOR LEW LIAN,531001,1.350867126,103.8753439
HDB,1,MARINE TER,440001,1.304829022,103.918615
HDB,1,MARSILING DR,730001,1.440671099,103.7757399
HDB,1,PINE CL,390001,1.307870562,103.8831922
HDB,1,QUEEN'S RD,260001,1.317266295,103.8067829
HDB,1,ST. GEORGE'S RD,320001,1.323402637,103.8616308
HDB,1,TECK WHYE AVE,680001,1.382538829,103.7517109
HDB,1,TELOK BLANGAH CRES,90001,1.279456601,103.8178976
HDB,1,TG PAGAR PLAZA,82001,1.275687028,103.8424336
HDB,1,TOH YI DR,591501,1.339571753,103.7746782
HDB,1A,CANTONMENT RD,85101,1.27784271,103.8409659
HDB,1B,CANTONMENT RD,85201,1.277799407,103.8414034
HDB,1C,CANTONMENT RD,85301,1.277449094,103.8416667
HDB,1D,CANTONMENT RD,85401,1.276920234,103.8414858
HDB,1E,CANTONMENT RD,85501,1.276621683,103.8411561
HDB,1F,CANTONMENT RD,85601,1.275986995,103.8411918
HDB,1G,CANTONMENT RD,85701,1.275532291,103.8412746
HDB,2,BEACH RD,190002,1.304033006,103.8649284
HDB,2,BEDOK STH AVE 1,460002,1.321301188,103.9332996
HDB,2,CHAI CHEE RD,461002,1.326810056,103.9227755
HDB,2,DELTA AVE,161002,1.291734122,103.8280261
