"URL","CHARSET","SERVER","WHOIS_COUNTRY","WHOIS_STATEPRO","WHOIS_REGDATE","WHOIS_UPDATED_DATE","TCP_CONVERSATION_EXCHANGE","DIST_REMOTE_TCP_PORT","REMOTE_IPS","APP_BYTES","SOURCE_APP_BYTES","DNS_QUERY_TIMES","Type","NUMBER SPECIAL CHAR","TOTAL URL LENGTH"
"M0_109","ISO-8859-1","NGINX","None","None","10/10/2015 18:21",,7,0,2,700,1153,2,"malicious",7,16
"B0_2314","UTF-8","APACHE/2.4.10","None","None",,,17,7,4,1230,1265,0,"benign",6,16
"B0_911","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None",,,0,0,0,0,0,0,"benign",6,16
"B0_113","ISO-8859-1","NGINX","US","AK","7/10/1997 4:00","12/9/2013 0:45",31,22,3,3812,18784,8,"benign",6,17
"B0_403","UTF-8","NONE","US","TX","12/5/1996 0:00","11/4/2017 0:00",57,2,5,4278,129889,4,"benign",6,17
"B0_2064","UTF-8","NGINX","SC","Mahe","3/8/2016 14:30","3/10/2016 3:45",11,6,9,894,838,0,"benign",7,18
"B0_462","ISO-8859-1","APACHE/2","US","CO","29/7/2002 0:00","1/7/2016 0:00",12,0,3,1189,8559,2,"benign",6,18
"B0_1128","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","FL","18/3/1997 0:00","19/3/2017 0:00",0,0,0,0,0,0,"benign",6,19
"M2_17","UTF-8","NGINX/1.10.1","None","None","8/11/2014 7:41",,0,0,0,0,213,2,"malicious",5,20
"M3_75","UTF-8","NGINX/1.10.1","None","None","8/11/2014 7:41",,0,0,0,0,62,2,"malicious",5,20
"B0_1013","UTF-8","APACHE","US","Kansas","14/9/2007 0:00","9/9/2015 0:00",0,0,0,0,0,0,"benign",6,20
"B0_1102","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","CO","22/11/2016 0:00","23/11/2016 0:00",0,0,0,0,0,0,"benign",6,20
