URL,SPECIAL CHAR IN URL,CHARSET,SERVER,CONTENT_LENGTH,ACCEPT_EN,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
M0_109,7:16,iso-8859-1,nginx,263,1,None,None,10/10/2015 18:21,,7,0,2,700,9,10,1153,832,9,2,1
B0_2314,6:16,UTF-8,Apache/2.4.10,15087,1,None,None,,,17,7,4,1230,17,19,1265,1230,17,0,0
B0_911,6:16,us-ascii,Microsoft-HTTPAPI/2.0,324,1,None,None,,,0,0,0,0,0,0,0,0,0,0,0
B0_113,6:17,ISO-8859-1,nginx,162,1,US,AK,7/10/1997 4:00,12/9/2013 0:45,31,22,3,3812,39,37,18784,4380,39,8,0
B0_403,6:17,UTF-8,None,124140,1,US,TX,12/5/1996 0:00,11/4/2017 0:00,57,2,5,4278,61,62,129889,4586,61,4,0
B0_2064,7:18,UTF-8,nginx,,1,SC,Mahe,3/8/2016 14:30,3/10/2016 3:45,11,6,9,894,11,13,838,894,11,0,0
B0_462,6:18,iso-8859-1,Apache/2,345,1,US,CO,29/7/2002 0:00,1/7/2016 0:00,12,0,3,1189,14,13,8559,1327,14,2,0
B0_1128,6:19,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,FL,18/3/1997 0:00,19/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
M2_17,5:20,utf-8,nginx/1.10.1,,1,None,None,8/11/2014 7:41,,0,0,0,0,2,3,213,146,2,2,1
M3_75,5:20,utf-8,nginx/1.10.1,,1,None,None,8/11/2014 7:41,,0,0,0,0,2,1,62,146,2,2,1
B0_1013,6:20,utf-8,Apache,,1,US,Kansas,14/9/2007 0:00,9/9/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1102,6:20,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,CO,22/11/2016 0:00,23/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_22,7:20,utf-8,None,13716,1,GB,None,11/10/2002 0:00,6/10/2016 0:00,16,6,8,1492,20,20,2334,1784,20,4,0
B0_482,6:20,ISO-8859-1,nginx,3692,2,None,None,14/11/2002 0:00,19/4/2015 0:00,25,19,4,3946,35,29,16408,4746,35,10,0
B0_869,7:20,ISO-8859-1,Apache/2.2.15 (Red Hat),13054,1,None,None,,,0,0,0,0,0,0,0,0,0,0,0
M0_71,7:21,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,1,UK,None,16/7/2000 0:00,4/7/2015 0:00,7,0,1,717,11,10,1960,1011,11,4,1
M0_97,7:21,iso-8859-1,nginx,686,1,RU,Novosibirskaya obl.,25/5/2013 0:00,23/5/2016 0:00,6,0,2,603,8,9,1580,745,8,2,1
B0_2303,6:21,us-ascii,Microsoft-HTTPAPI/2.0,324,1,None,None,9/8/1999 0:00,10/2/2015 0:00,7,7,3,618,7,9,562,618,7,0,0
B0_584,6:21,utf-8,nginx,15025,1,None,None,,,13,1,5,1099,15,17,15476,1243,15,2,0
M0_69,7:22,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,CO,15/9/2013 0:00,25/2/2017 0:00,9,0,4,850,11,9,1354,994,11,2,1
B0_161,6:22,utf-8,openresty/1.11.2.1,,1,US,CA,3/7/1999 0:00,7/8/2015 0:00,39,29,6,3833,43,42,22495,4125,43,4,0
B0_2122,6:22,iso-8859-1,nginx,318,1,US,Tennessee,2/11/2003 0:00,29/6/2015 0:00,8,6,6,696,8,10,636,696,8,0,0
B0_2176,6:22,iso-8859-1,Apache/2.2.22,224,1,None,None,12/8/2008 22:10,13/7/2016 17:36,4,3,2,420,4,6,372,420,4,0,0
B0_569,7:22,utf-8,Apache/2.4.7 (Ubuntu),4421,1,AU,Vi,21/5/2009 0:00,15/5/2016 0:00,12,0,2,2259,16,12,5165,2559,16,4,0
B0_601,6:22,UTF-8,nginx/1.12.0,,1,US,FL,1/8/2002 0:00,22/3/2016 0:00,6,0,3,650,10,10,1417,950,10,4,0
B0_884,6:22,ISO-8859-1,Apache,441,1,US,OR,13/1/2005 0:00,2/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_905,6:22,ISO-8859-1,nginx/1.12.0,,1,US,Texas,18/5/2005 19:41,19/5/2016 10:14,0,0,0,0,0,0,0,0,0,0,0
B0_916,6:22,utf-8,nginx,6671,1,CA,ALBERTA,4/1/2001 0:00,3/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_102,6:23,utf-8,Apache,,1,US,FL,28/2/2008 10:58,14/2/2017 20:27,16,3,11,1696,18,20,13422,1844,18,2,0
B0_1130,6:23,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434,1,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1185,6:23,us-ascii,Microsoft-HTTPAPI/2.0,324,1,se,None,16/6/2000 0:00,18/5/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1369,6:23,utf-8,nginx,13001,1,None,None,,,0,0,0,0,0,0,0,0,0,0,0
B0_1412,7:23,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,3257,1,None,None,13/10/2000 0:00,27/4/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
