,Title,Artist,Album,Genre,Beats per minute,Energy,Danceability,Loudness(in db),Liveness,Length(seconds),Speechiness,Positivity,Popularity
1,Life is good,Drake,Life is good,Hip-Hop,142,61,68,-5.83,15,237,48,51,91
2,Crawling,Linkin park,Hybrid theory,Indie,105,70,58,-5.57,54,208,3,30,73
3,Be kind,Hasley,Be kind(with hasley),electronic,94,63,63,-7.09,5,172,5,45,91
4,Bad guy,Billie Eilish,"When we all fall asleep,where do we go?",Indie,135,43,70,-10.97,10,194,38,56,91
5,Blinding lights,The weeknd,After hours,R&B/soul,171,71,53,-5.93,9,200,6,33,100
6,Marvins room,Drake,Take care(deluxe),Rap,112,26,49,-17.34,7,347,9,31,74
7,In the end,Linkin park,Hybrid theory,Rock,105,86,56,-5.87,21,216,6,40,83
8,You should be sad ,Hasley,Manic,Indie,111,59,59,-6.35,11,205,3,32,87
9,Ocean eyes,Billie Eilish,Don't smile at me,Indie,145,36,51,-7.65,8,200,4,17,83
10,In your eyes,The weeknd,After hours,Rock,100,72,67,-5.37,7,237,3,72,91
11,"Hold on,we are going home",Drake,Nothing was  the same(deluxe),Rap,100,41,77,-7.44,7,227,10,29,72
12,What I've done,Linkin park,Minutes to midnight,Hard rock,120,93,62,-5.29,14,205,3,29,76
13,Closer,Hasley,Closer,electronic,95,52,75,-5.6,11,244,3,66,84
14,I love you,Billie Eilish,"When we all fall asleep,where do we go?",Indie,137,13,42,-18.44,11,291,4,12,83
15,In your eyes(with doza cat),The weeknd,In your eyes,R&B/soul,100,77,68,-5.52,6,237,3,73,80
16,Know yourself,Drake,If your reading this its too late,Hip-Hop,114,41,72,-8.69,34,275,22,18,68
17,Numb,Linkin park,Collision course,Metal,107,80,67,-4.25,55,205,16,80,70
18,East side,Hasley,East side,Pop,89,68,56,-7.65,12,173,32,32,81
19,No time to die,Billie Eilish,No time to die,Indie,74,22,38,-13.27,8,242,4,5,85
20,Star boy,The weeknd,Star boy,R&B electro pop,186,59,68,-7.02,14,230,28,49,84
21,Controlla,Drake,Views,Hip-Hop/Rap,92,47,61,-11.08,10,245,18,35,72
22,One more light,Linkin park,One more light,electro pop,84,20,59,-11.06,9,255,3,17,73
23,Grave yard,Hasley,Manic,Indie,92,58,67,-5.13,18,181,7,19,81
24,Bury a friend,Billie Eilish,"When we all fall asleep,where do we go?",pop,120,39,91,-14.51,11,193,33,20,83
25,The Hills,The weeknd,Beauty behind the madness,Trap music,113,56,59,-7.06,14,242,5,14,83
26,Pain 1993,Drake,Dark lane demo tapes,Hip-Hop/Rap,77,37,83,-5.53,37,149,11,12,86
27,Burn it down,Linkin park,Living things,Electronic rock,110,97,59,-4.45,7,230,5,59,73
28,Harleys in hawaii,Hasley,Harleys in hawaii,Pop,140,76,72,-6.21,13,185,13,72,73
29,Bellyache,Billie Eilish,Bellyache,Indie,100,57,70,-8.6,48,179,11,41,78
30,After hours,The weeknd,After hours,Electro,109,57,66,-6.1,12,361,3,14,85
31,One dance,Drake,Views,Hip-Hop,104,63,79,-5.61,33,173,5,37,81
32,Bleed it out,Linkin park,Minutes to midnight,Indie,140,97,53,-3.65,61,166,5,60,72
33,without me,Hasley,without me,Pop,136,49,75,-7.05,9,201,7,53,84
34,Hostage,Billie Eilish,Don't smile at me,Indie,120,12,43,-15.23,7,229,5,4,76
35,Heart less,The weeknd,After hours,Electronic,170,75,54,-5.51,16,198,15,25,84
36,Gods plan,Drake,scorpion,pop,77,45,75,-9.21,55,198,11,36,84
37,Some where I belong,Linkin park,Meteora,Metal,162,95,45,-3.75,26,213,6,44,69
38,East side,Hasley,Friends keep secrets,Pop,90,69,63,-7.67,20,170,24,33,76
39,Bitches broken hearts,Billie Eilish,Bitches broken hearts,Indie,120,42,78,-10.11,10,176,5,19,77
40,Call out my name,The weeknd,My dear Melancholy,Electro pop,134,59,46,-4.95,31,228,4,18,82
41,When to say ehen,Drake,Dark lane demo tapes,Hip-Hop,171,82,41,-6.81,54,223,53,53,77
42,New divide,Linkin park,Transformers:revenge of fallen the album,Hard rock,118,81,49,-3.37,10,268,4,38,69
43,Boy with luv,Hasley,Map of the soul:persona,K-pop,120,86,65,-4.76,19,229,10,80,82
44,Six feet under,Billie Eilish,Six feet under,Indie,68,31,58,-12.73,8,189,4,16,77
45,I feel it coming,The weeknd,Star boy,Pop,93,82,77,-5.95,7,269,12,59,80
46,Toosie slide,Drake,Toosie slide,Hip-hop,82,45,83,-9.75,11,247,20,84,96
47,Heavy,Linkin park,One more light,Electro pop,150,86,46,-7.14,95,176,10,31,46
48,Bad at love,Hasley,Hopeless mountain kingdom,Indie,118,75,68,-3.54,9,181,3,61,75
49,All the good girls go to hell,Billie Eilish,"When we all fall asleep,where do we go?",pop,185,44,73,-8.92,18,168,37,57,82
50,Can't feel my face,The weeknd,Beauty behind the madness,R&B/soul,108,77,71,-5.53,11,213,4,58,79
